,Tx,Tn,Pr,ET0
20230401,0.05,-3.77,5.62,0.41170404898670315
20230402,-0.65,-4.86,0.0,0.7488406615221582
20230403,-1.06,-3.42,3.65,0.22965420239224624
20230404,0.08,-4.2,1.15,0.4155433717673484
20230405,1.69,-2.91,0.0,0.9070188393631171
20230406,2.93,-1.92,0.0,1.2308591828752513
20230407,3.08,-3.17,0.0,1.6824901746576748
20230408,4.83,-4.03,0.0,1.7908353846102976
20230409,9.44,-2.39,0.0,1.9055326963072132
20230410,11.39,-0.52,0.0,2.093043293023785
20230411,13.43,-0.09,0.0,1.9980460381363085
20230412,15.46,2.94,0.0,1.9539557577026367
20230413,9.65,1.52,0.0,2.0934219363568847
20230414,6.55,-2.01,0.0,2.1651817407153238
20230415,3.55,-2.13,0.0,1.1163836905400475
20230416,7.67,-0.67,0.0,1.5035839489548775
20230417,12.5,1.15,0.0,1.821045566411867
20230418,9.67,0.26,0.0,2.049609667381695
20230419,11.93,-0.0,0.0,2.6556222628312005
20230420,11.01,-0.91,0.0,1.9417474949895983
20230421,12.75,3.41,0.0,2.506330012964293
20230422,15.12,4.7,0.0,2.2767477286492444
20230423,16.64,3.62,0.0,3.194569822381272
20230424,18.51,7.42,0.0,2.9930009308822556
20230425,18.03,7.67,0.0,2.836450256705937
20230426,17.86,6.53,0.0,2.7063532294113495
20230427,13.41,1.77,9.36,1.939291728145345
20230428,9.67,0.83,1.28,1.7050366488519255
20230429,8.32,0.82,0.0,1.7876978039680362
20230430,8.78,1.03,3.59,1.1747462148439152
20230501,9.47,1.23,0.0,2.286682958035707
20230502,13.2,3.2,8.45,2.5508355284194777
20230503,9.77,2.31,0.0,2.2810482925105853
20230504,4.87,-1.62,1.42,1.4765368521676259
20230505,3.03,-2.69,1.05,1.4741350090637557
20230506,5.8,-3.21,0.0,1.8884737993885699
20230507,9.27,-1.91,0.0,1.8032029734757868
20230508,12.26,-1.0,0.0,3.267315024306949
20230509,14.65,2.7,0.0,3.4783088844657746
20230510,16.89,3.19,0.0,3.868610813648239
20230511,17.33,5.16,0.0,3.834089787602651
20230512,18.12,5.09,0.0,4.251923659390644
20230513,19.98,4.92,0.0,3.5625638324794173
20230514,19.2,7.84,0.0,3.0434821270239483
20230515,20.14,7.31,0.0,3.298422547973554
20230516,17.49,9.11,2.78,2.9821092587840554
20230517,16.8,11.94,5.44,2.2213592539805886
20230518,13.98,5.12,2.8,2.587517389726965
20230519,14.55,4.5,0.0,3.337442769088624
20230520,18.38,4.03,0.0,3.472780032900598
20230521,17.75,7.23,0.0,4.041669075460345
20230522,15.69,8.56,3.09,2.4769240623912663
20230523,21.05,8.2,0.0,4.0580322895652525
20230524,22.31,11.65,0.0,3.6848334898190918
20230525,21.96,9.65,1.92,3.454072995826843
20230526,17.07,8.61,0.0,2.9794254994151994
